entity_name,category_names,service_names,products,products_rpc_codes,products_rpc_names,email,phone,website,location,profile_url,source_url
Whole Village Property Co-operative,Beef; Poultry; Vegetables; Grains; Value-added products; Mixed farming,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program,"Beef, Strawberries, Vegetables, Honey, Maple syrup, Eggs",,,info@wholevillage.org,519-942-4010,https://www.wholevillage.org,"Caledon, Ontario",https://regenerationcanada.org/en/whole-village-property-cooperative/,https://regenerationcanada.org/en/map/
Solar Nutrition,Beef; Poultry; Vegetables; Other / multiple categories,Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Grass Fed Beef, Tallow Soy Candles, Tallow Lotion, Eggs, Dog Treats",,,Solar.Nutrition.Info@gmail.com,204-740-0376,https://solar-nutrition.localline.ca/shop,"Brandon, Manitoba",https://regenerationcanada.org/en/solar-nutrition/,https://regenerationcanada.org/en/map/
Vignoble de la Bauge,Seeds,Workshops & trainings; Farm tour (for general public),Vins,,,vignoble.labauge@gmail.com,450-525-2149,https://labauge.com,"Brigham, Québec",https://regenerationcanada.org/en/vignoble-de-la-bauge/,https://regenerationcanada.org/en/map/
Rose Hill Orchard,Vegetables; Fruit; Grains,Workshops & trainings; Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Cherry, apple, peach, plum, strawberry, haskap, grape",,,,4167702835,https://Www.rosehillorchard.com,"Lake Country, BC",https://regenerationcanada.org/en/rose-hill-orchard/,https://regenerationcanada.org/en/map/
Four Goats Farm,Beef,,"Certified organic pastured chicken, Pastured pork, Grass fed goat",,,fourgoatsfarm@gmail.com,647-859-8997,https://fourgoatsfarm.com,"Delta, Ontario",https://regenerationcanada.org/en/four-goats-farm/,https://regenerationcanada.org/en/map/
Moondance Organic Gardens,Poultry; Vegetables; Honey & bee products; Value-added products; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"eggs, vegetables, flowers, seedlings and nursery plants, compost, honey & syrups",,,mogfarm@gmail.com,17057198705,https://moondanceorganics.ca,"Angus, Ontario",https://regenerationcanada.org/en/moondance-organic-gardens/,https://regenerationcanada.org/en/map/
Aliksir,Other / multiple categories,Workshops & trainings; Farm tour (for general public),Essential oils and derived products,,,lucie.mainguy@aliksir.com,(418)268-3406,https://aliksir.com,"Grondines, QC",https://regenerationcanada.org/en/aliksir/,https://regenerationcanada.org/en/map/
Ferme Florale Libella Inc.,Honey & bee products,Farm tour (for other farmers); Farm tour (for general public); Farm dinners and events,"Cut flowers, Edible flowers, Floral arrangements",,,charleneaudreychou@gmail.com,819-560-1894,https://fermefloralelibella.com,"Bury, Quebec",https://regenerationcanada.org/en/ferme-florale-libella-inc/,https://regenerationcanada.org/en/map/
Grip-Fast Farms,Beef,Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Grass Finished Beef, Grass Finished Goat.",,,gripfastfarm@gmail.com,204-773-6237,https://gripfastfarms.eatfromfarms.com,"Binscarth, MB",https://regenerationcanada.org/en/grip-fast-farms/,https://regenerationcanada.org/en/map/
Coopérative Ferme Terre Partagée,Beef; Poultry; Pork; Vegetables; Grains,Workshops & trainings; Wwoofing; Farm dinners and events; Employment opportunities,"Vegetables, Strawberries, Eggs, Chicken, Turkey, Lamb, Pork, Beef",,,info@ftpcoop.com,506 251 8246,https://fermeterrepartagee.org,"Rogersville, New Brunswick",https://regenerationcanada.org/en/cooperative-ferme-terre-partagee/,https://regenerationcanada.org/en/map/
Local Valley Beef,Beef,Workshops & trainings; Activities for kids; Soil testing; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Grass-fed beef, Free-range chicken",,,,506-260-0872,https://www.localvalleybeef.ca,"Long Settlement, New Brunswick",https://regenerationcanada.org/en/local-valley-beef/,https://regenerationcanada.org/en/map/
Jenovic Farms,Beef; Pork,,Lambs,,,ludsfarms@hotmail.com,306-572-9055,,"Vankleek Hill, Ontario",https://regenerationcanada.org/en/jenovic-farms/,https://regenerationcanada.org/en/map/
Kettle Ridge Organics,Pork,,"Organic Wheat, Organic Malt Barley, Organic Barley, Organic Peas, Organic Mustard, Organic Rye, Organic Oats, Organic Faba Beans",,,chris@kettleridgeorganics.ca,403-396-1794,https://www.kettleridgeorganics.ca,"Alix, Alberta",https://regenerationcanada.org/en/kettle-ridge-organics/,https://regenerationcanada.org/en/map/
Just Food Community Farm,Poultry; Vegetables; Fruit; Grains; Nuts; Honey & bee products; Value-added products; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Farm dinners and events; Employment opportunities,,,,info@justfood.ca,613-824-7771,https://justfood.ca,"Gloucester, Ontario",https://regenerationcanada.org/en/just-food-community-farm/,https://regenerationcanada.org/en/map/
South Glanton Farms,Beef; Pork; Lamb,Farm tour (for other farmers); Farm tour (for general public); Internship program,"Grass fed beef, Pasture raised pork, Small Grains, Hairy Vetch Seed, Forage pea seed, Forrage-fed cattle and bred cows",,,rboydy@yahoo.ca,2047247019,https://www.southglantonfarms.com,"Forrest, Manitoba",https://regenerationcanada.org/en/south-glanton-farms/,https://regenerationcanada.org/en/map/
Covert Farms Family Estate,Beef; Poultry; Vegetables; Fruit; Grains; Seeds,Workshops & trainings; Activities for kids; Farm equipment sharing; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public),"Wine, Poultry, Eggs, Fruit, Vegetables, Berries",,,info@covertfarms.ca,250-498-9463,https://www.covertfarms.ca,"Oliver, British Columbia",https://regenerationcanada.org/en/covert-farms-family-estate_/,https://regenerationcanada.org/en/map/
Steel Pony Farm,Vegetables,Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program,"Arugula, Beets, Broccoli, Cabbage, Celery, Celeriac, Cilantro, Collard Greens, Dill, Fennel, Garlic, Garlic Scapes, Kale, Kohlrabi, Lettuce, Mint, Onions, Parsley, Potatoes, Pumpkin, Radish, Rosemary, Sage, Spinach, Squash, Swiss Chard, Thyme, Turnip, Zucchini",,,mike@steelpony.ca,403-506-3624,https://www.steelpony.ca,"Red Deer County, AB",https://regenerationcanada.org/en/steel-pony-farm/,https://regenerationcanada.org/en/map/
First Nature Farms,Beef; Poultry; Vegetables; Dairy; Mixed farming; Other / multiple categories,Workshops & trainings; Activities for kids; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public); Volunteer program; Internship program; Wwoofing,"beef, chicken, turkeys, pork, bison, vegetables",,,jerrykitt@gmail.com,780 356-2239,https://firstnaturefarms.ab.ca,"Goodfare, AB",https://regenerationcanada.org/en/first-nature-farms/,https://regenerationcanada.org/en/map/
Sperling Vineyards,Fruit; Seeds,Farm tour (for other farmers); Farm tour (for general public),"Fresh Coronation grapes, Wine tastings, Estate-grown wines",,,info@sperlingvineyards.com,778-478-0260,https://www.sperlingvineyards.com,"Kelowna, British Columbia",https://regenerationcanada.org/en/sperling-vineyards/,https://regenerationcanada.org/en/map/
Sharon Creek Farm,Poultry; Vegetables; Fruit; Grains; Honey & bee products; Mixed farming; rpc14,Farm tour (for other farmers); Farm tour (for general public); Volunteer program,"Haskap, Black raspberry, Gooseberries, Black currants, Goji berries, Sea buckthorn, Apples, Pears, Plumcots, Asian pears, Chicken eggs, Duck eggs, Quail eggs, Flowers, Asian greens, Garlic, Cucumbers, Beans, Squash, Honey, Wool, Wool products",,,info@sharoncreekfarm.ca,905-758-7856,https://www.sharoncreekfarm.ca,"East Gwillimbury, Ontario",https://regenerationcanada.org/en/sharon-creek-farm/,https://regenerationcanada.org/en/map/
Persephone Garden Market,Beef; Vegetables; Honey & bee products,Workshops & trainings; Soil testing; Pick-your-own; Internship program; Wwoofing,"Lamb, Duck, Geese, Eggs, Vegetables",,,kristine@persephonedays.ca,519-935-3005,https://www.persephonemarketgarden.ca/,"Allenford, ON",https://regenerationcanada.org/en/persephone-market-garden/,https://regenerationcanada.org/en/map/
Backwoods Buffalo Ranch,Beef; Poultry; Vegetables,Activities for kids; Farm tour (for other farmers); Farm tour (for general public); Wwoofing,"Grass Finished Lamb, Pastured Bison, Pastured Pork, Pastured Chicken, Pastured Turkey, Free-Range Eggs, Vegetables",,,backwoodsbuffaloranch@gmail.com,780-305-8449,https://www.backwoodsbuffalo.com,"Mayerthorpe, Alberta",https://regenerationcanada.org/en/backwoods-buffalo-ranch/,https://regenerationcanada.org/en/map/
Vignoble Pigeon Hill,Seeds,,Wine,,,rousseaushufelt@hotmail.com,450-248-2531,https://vignoblepigeonhill.com,"St-Armand, QC",https://regenerationcanada.org/en/vignoble-pigeon-hill/,https://regenerationcanada.org/en/map/
Écoboeuf,Beef,Farm tour (for other farmers),Beef,,,ecoboeuf@gmail.com,418-806-9171,https://www.ecoboeuf.com,"Dupuy, Québec",https://regenerationcanada.org/en/ecoboeuf/,https://regenerationcanada.org/en/map/
Future Spell Farm Specialty Herbs,Other / multiple categories,,Certified Organic Herbs,,,connect@futurespell.com,,https://futurespellfarm.com,"Mono, ON",https://regenerationcanada.org/en/future-spell-farm-specialty-herbs/,https://regenerationcanada.org/en/map/
Cedar Creek Estate Winery,Seeds,Farm tour (for general public),Wine,,,ksimcic@sebastianfarms.ca,778-738-1020,https://cedarcreek.bc.ca,"Kelowna, BC",https://regenerationcanada.org/en/cedar-creek-estate-winery/,https://regenerationcanada.org/en/map/
CRB Farms Ltd,Poultry; Pork; Lamb; Vegetables,Workshops & trainings; Activities for kids; Farm equipment sharing; Farm tour (for other farmers); Farm tour (for general public),"Wheat, barley, peas, mustard, canola, oats, rye, clover, perennial rye grass,",,,cbeaudry@sasktel.net,3068748194,,"Rose Valley, Saskatchewan",https://regenerationcanada.org/en/crb-farms-ltd/,https://regenerationcanada.org/en/map/
Yourco Ltd,Other / multiple categories,Workshops & trainings,Sprouted Whole Grain Flours,,,Ron.Bokenfohr@live.ca,7809191525,https://Regenerativegrain.com,"Sturgeon County, AB",https://regenerationcanada.org/en/yourco-ltd/,https://regenerationcanada.org/en/map/
Ferme Rustique,Beef; Poultry; Pork; Vegetables; Fruit; Other / multiple categories,Activities for kids; Pick-your-own; Farm tour (for other farmers); Farm tour (for general public); Internship program,"Producers of grass-fed beef, old-fashioned pigs, free-range chicken, eggs, small fruits, vegetables, forage crops.",,,fermerustique@hotmail.com,4189300390,https://fermerustique.com,"Sainte-Croix, Québec",https://regenerationcanada.org/en/ferme-rustique/,https://regenerationcanada.org/en/map/
,,,,,,,,,,,
